"Annual Rate of Population Increase by Sex, Province or County,"
"statistical indicator and Census Year"

" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-32.9,-12.2,-8.9,-8.3,-14.5,-13.7,-6.7,-6.7,-7.2,-8.6,-11.6,-14.4,-17.3,-9.3,-5.3,2.6,1.3,0.4,-4.4,0.6,11.0,31.5,27.2
" ","Donegal"
" "," ","Population (Number)",296448,255158,237395,218334,206035,185635,173722,168537,152508,142310,136317,131530,122059,113842,108549,108344,121941,125112,129664,128117,129994,137575,147264,161137
" "," ","Population Change since previous Census (Number)",..,-41290,-17763,-19061,-12299,-20400,-11913,-5185,-16029,-10198,-5993,-4787,-9471,-8217,-5293,-205,13597,3171,4552,-1547,1877,7581,9689,13873
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-14.9,-7.2,-8.3,-5.8,-10.4,-6.6,-3.0,-6.6,-6.9,-4.3,-7.1,-14.8,-13.8,-9.5,-0.4,14.9,12.9,7.2,-2.4,2.9,9.5,17.2,18.2
" ","Monaghan"
" "," ","Population (Number)",200442,141823,126482,114969,102748,86206,74611,71455,65131,61289,57215,55345,52064,47088,45732,46242,50376,51192,52379,51293,51313,52593,55997,60483
" "," ","Population Change since previous Census (Number)",..,-58619,-15341,-11513,-12221,-16542,-11595,-3156,-6324,-3842,-4074,-1870,-3281,-4976,-1356,510,4134,816,1187,-1086,20,1280,3404,4486
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-34.0,-11.4,-9.5,-11.2,-17.4,-14.3,-4.3,-6.2,-6.1,-6.9,-6.6,-12.1,-19.9,-5.8,2.2,10.8,8.1,4.6,-4.2,0.1,4.1,15.8,15.5
"Male"
" ","State"
" "," ","Population (Number)",3222485,2494478,2169042,1992468,1912438,1728601,1610085,1589509,1506889,1520454,1494877,1506597,1462928,1416549,1449032,1495760,1693272,1729354,1769690,1753418,1800232,1946164,2121171,2272699
" "," ","Population Change since previous Census (Number)",..,-728007,-325436,-176574,-80030,-183837,-118516,-20576,-82620,13565,-25577,11720,-43669,-46379,32483,46728,197512,36082,40336,-16272,46814,145932,175007,151528
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-25.3,-13.9,-8.5,-4.1,-10.1,-7.1,-1.3,-3.6,0.9,-1.7,1.6,-5.9,-6.4,4.5,6.4,15.6,10.6,4.6,-1.8,5.3,13.1,21.8,13.9
" ","Leinster"
" "," ","Population (Number)",963747,813537,715005,655114,630038,587847,571809,582967,573900,611279,630982,664008,658453,651908,694248,737460,862509,884666,913736,913849,944669,1038015,1141320,1233352
" "," ","Population Change since previous Census (Number)",..,-150210,-98532,-59891,-25076,-42191,-16038,11158,-9067,37379,19703,33026,-5555,-6545,42340,43212,125049,22157,29070,113,30820,93346,103305,92032
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-16.8,-12.8,-8.7,-3.9,-6.9,-2.8,1.9,-1.0,6.3,3.2,10.3,-1.7,-2.0,12.7,12.1,19.8,12.8,6.5,0.0,6.7,15.8,24.0,15.6
" ","Carlow"
" "," ","Population (Number)",42428,33016,28139,25464,23078,20552,19009,18481,17802,18066,17702,17848,17666,17360,17320,17502,19743,20195,20816,20785,21086,23403,25611,27431
" "," ","Population Change since previous Census (Number)",..,-9412,-4877,-2675,-2386,-2526,-1543,-528,-679,264,-364,146,-182,-306,-40,182,2241,452,621,-31,301,2317,2208,1820
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-24.8,-15.9,-9.9,-9.8,-11.5,-7.8,-2.8,-2.5,1.5,-2.0,1.6,-2.0,-3.5,-0.5,2.1,15.2,11.4,6.1,-0.3,2.9,17.5,22.8,13.8
" ","Dublin"
" "," ","Population (Number)",170930,187286,191435,188108,197740,197409,211786,226364,238995,277098,292205,326126,329627,335004,375692,406008,473104,482342,492279,492432,508966,544075,582557,619902
" "," ","Population Change since previous Census (Number)",..,16356,4149,-3327,9632,-331,14377,14578,12631,38103,15107,33921,3501,5377,40688,30316,67096,9238,9937,153,16534,35109,38482,37345
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,9.2,2.2,-1.8,5.0,-0.2,7.1,6.7,3.6,14.9,5.3,22.2,2.1,3.2,23.2,15.6,19.3,9.7,4.1,0.1,6.6,11.2,17.2,12.5
" ","Kildare"
" "," ","Population (Number)",58030,48528,48960,44946,40701,38407,34703,37684,31987,31956,36057,36364,35069,34068,34829,37279,50666,53967,59542,62207,68007,82735,94190,104658
" "," ","Population Change since previous Census (Number)",..,-9502,432,-4014,-4245,-2294,-3704,2981,-5697,-31,4101,307,-1295,-1001,761,2450,13387,3301,5575,2665,5800,14728,11455,10468
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-17.7,0.9,-8.5,-9.9,-5.8,-10.1,8.3,-10.9,-0.1,12.1,1.7,-7.2,-5.8,4.4,13.7,39.1,32.1,19.9,8.8,18.0,33.2,32.9,21.3
" ","Kilkenny"
" "," ","Population (Number)",99114,76493,60317,52965,48971,43468,40095,38551,37084,36489,35464,34687,33927,32252,31390,31828,35688,36395,37325,37447,38144,40540,44263,47788
" "," ","Population Change since previous Census (Number)",..,-22621,-16176,-7352,-3994,-5503,-3373,-1544,-1467,-595,-1025,-777,-760,-1675,-862,438,3860,707,930,122,697,2396,3723,3525
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-25.6,-23.5,-12.9,-7.8,-11.8,-8.0,-3.9,-2.6,-1.6,-2.8,-4.4,-4.4,-10.1,-5.4,2.8,14.4,9.9,5.1,0.7,3.7,10.2,22.2,15.4
" ","Laois"
" "," ","Population (Number)",76403,55556,45112,39843,36861,33171,29694,28711,27198,27149,26751,26154,25233,23989,23622,23805,26192,26774,27531,26904,27160,30131,34409,40587
" "," ","Population Change since previous Census (Number)",..,-20847,-10444,-5269,-2982,-3690,-3477,-983,-1513,-49,-398,-597,-921,-1244,-367,183,2387,582,757,-627,256,2971,4278,6178
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-31.4,-20.6,-12.3,-7.7,-10.5,-11.0,-3.4,-3.6,-0.2,-1.5,-4.5,-7.1,-10.1,-3.1,1.5,12.0,11.0,5.6,-4.6,1.9,17.5,33.7,33.6
" ","Longford"
